model_name,run_name,model_dtype_str,model_n_weights,time_obfuscate_mtd,time_deobfuscate_mtd,time_construct_mtd,time_encrypt_crypto,time_decrypt_crypto,time_save_reg,time_load_reg,time_save_mtd,time_load_mtd
alexnet,0,torch.float32,61100840,0.0218627452850341,0.0228421688079834,2.264976501464844e-05,1.7421321868896484,2.082801580429077,0.1602506637573242,0.0974566936492919,0.5316498279571533,0.0987370014190673
alexnet,1,torch.float32,61100840,0.0219476222991943,0.0216333866119384,1.2159347534179688e-05,1.7514269351959229,1.9058759212493896,0.1597824096679687,0.0972306728363037,0.5399255752563477,0.1009182929992675
alexnet,2,torch.float32,61100840,0.0214941501617431,0.0214719772338867,1.049041748046875e-05,1.7475547790527344,1.9105229377746584,0.1599295139312744,0.0900390148162841,0.5357730388641357,0.1008443832397461
alexnet,3,torch.float32,61100840,0.0216765403747558,0.0209414958953857,9.059906005859377e-06,1.7403810024261477,1.9143083095550537,0.31987760242037305,0.1852245413620857,1.0668660722985512,0.20139132036144922
alexnet,4,torch.float32,61100840,0.0222880840301513,0.0209007263183593,1.0251998901367188e-05,1.7490112781524658,1.928436517715454,0.3199541580305406,0.1933188833311787,1.0724418855940059,0.19967365994861974
alexnet,5,torch.float32,61100840,0.0219640731811523,0.0209686756134033,9.775161743164062e-06,1.7443296909332275,1.9202134609222408,0.32002455821231235,0.19297304207281182,1.069470983247685,0.20083698062680103
alexnet,6,torch.float32,61100840,0.0217223167419433,0.021583080291748,1.0251998901367188e-05,1.7595524787902832,1.953540325164795,0.32012520578996767,0.18924997418483575,1.0696299802377798,0.1974021966040907
alexnet,7,torch.float32,61100840,0.0217640399932861,0.0218114852905273,1.1920928955078123e-05,1.753873586654663,1.9336299896240237,0.3204149077037901,0.18285506115443884,1.065255634162029,0.20163330847412528
alexnet,8,torch.float32,61100840,0.0219333171844482,0.0216040611267089,9.5367431640625e-06,1.757932186126709,1.9359617233276367,0.3200972071155048,0.18991078634362324,1.0758571238487349,0.1986832294993418
alexnet,9,torch.float32,61100840,0.0214395523071289,0.0223703384399414,9.775161743164062e-06,1.9656877517700195,1.9137206077575684,0.31988785857607127,0.18872771967721708,1.0726805977414677,0.20023553771578098
convnext_base,0,torch.float32,88591464,0.0166621208190917,0.0254662036895751,1.3113021850585938e-05,2.535286664962769,2.6937427520751958,0.2408537864685058,0.1330182552337646,0.7769510746002197,0.0571792125701904
convnext_base,1,torch.float32,88591464,0.0365982055664062,0.0260729789733886,1.049041748046875e-05,2.5649774074554443,2.696696519851685,0.2619290351867676,0.0821409225463867,0.7710471153259277,0.0596511363983154
convnext_base,2,torch.float32,88591464,0.0177779197692871,0.0258586406707763,1.0728836059570312e-05,2.5441269874572754,2.7100212574005127,0.2585530281066894,0.0916910171508789,0.7668435573577881,0.095881700515747
convnext_base,3,torch.float32,88591464,0.0170085430145263,0.0261235237121582,1.1920928955078123e-05,2.52961802482605,2.687440872192383,0.5056712698230121,0.20146016937830458,1.533150830884836,0.13041019118359998
convnext_base,4,torch.float32,88591464,0.0171344280242919,0.0260567665100097,1.1444091796875e-05,2.527367115020752,2.99763560295105,0.518845019140669,0.20559804875945772,1.5481681996847074,0.15801275248911328
